Date,A,AA
2000-12-12,38.314338683922,24.449486865908998
2000-12-13,38.943430009038,25.276841418298
2000-12-14,39.65283086502,24.550006577881998
2000-12-15,38.066717630419,23.923691449438
2000-12-18,38.147027161285,24.983014567917
2000-12-19,38.187181926718004,25.903156546742
2000-12-20,35.135419753815,24.310305726255002
2000-12-21,34.385864132399995,24.550006577881998
2000-12-22,36.601068692116996,26.916085952002
2000-12-26,35.804665844364,26.722778813593997
2000-12-27,37.437626305303,26.436684248749
2000-12-28,37.016001268257,26.769172526812
2000-12-29,36.64122345755,25.903156546742
2001-01-02,34.04454862622,24.936620854699
2001-01-03,37.564783062507,25.276841418298
2001-01-04,38.983584774471005,26.09646368515
2001-01-05,36.84868974562,25.609329696360998
2001-01-08,35.637354321727,25.995943973178
2001-01-09,35.47004279909,25.037140566671
2001-01-10,37.016001268257,25.323235131516
2001-01-11,38.521804971992005,24.356699439473
2001-01-12,37.564783062507,24.5964002911
2001-01-16,38.943430009038,25.949550259960002
2001-01-17,41.453102848596004,25.949550259960002
2001-01-18,45.214265877481004,26.629991387157997
2001-01-19,43.875773696383,25.276841418298
2001-01-22,41.995192181941,25.949550259960002
2001-01-23,41.995192181941,26.243377110341
2001-01-24,38.816273251834005,26.722778813593997
2001-01-25,36.975846502824,27.403219940792
2001-01-26,36.560913926683995,26.722778813593997
2001-01-29,36.420372247669,26.305235394630998
2001-01-30,36.64122345755,27.387755369719
2001-01-31,36.507374239440004,28.524401343561
2001-02-01,36.005439671529004,29.502647007494
2001-02-02,34.93464592665,29.153273556089
2001-02-05,32.926907655004,28.633095306220003
2001-02-06,34.111473235275,28.912594067344
2001-02-07,33.55599898012,28.570984470415002
2001-02-08,36.279830568654,28.726261559928002
2001-02-09,35.135419753815,28.803900104685003
2001-02-12,34.211860148858,28.330304981670004
2001-02-13,31.702187309299003,27.716960478093
2001-02-14,32.123812346345,27.553919534104
2001-02-15,36.038901976055996,28.244902582437
2001-02-16,33.462304527442996,27.173490664797
2001-02-20,29.44682798415,27.328767754310004
2001-02-21,26.903692840064,26.645548560452
2001-02-22,26.147444757744,27.445225571444997
2001-02-23,25.632125268021003,26.932811176052
2001-02-26,25.632125268021003,27.949876112362
2001-02-27,25.531738354439,28.143972474254
2001-02-28,24.092859259759003,27.763543604947
2001-03-01,25.638817728927002,28.322541127194
2001-03-02,25.451428823572996,28.726261559928002
2001-03-05,25.464813745384003,29.564757843299
2001-03-06,27.171391276283998,29.494883153017998
2001-03-07,27.412319868881003,30.504184234853
2001-03-08,26.769843621954003,30.279032455059
2001-03-09,24.795567654835,28.726261559928002
2001-03-12,23.430305630116,27.942112257887
2001-03-13,24.481021992277004,28.765080832305998
2001-03-14,23.624386996374998,27.600502660958
2001-03-15,23.323226255628,27.771307459422
2001-03-16,23.256301646573,27.165726810321
2001-03-19,24.755412889402,27.895529131033
2001-03-20,22.955140905826003,28.167264037680997
2001-03-21,21.148176461344,26.893991903673
2001-03-22,23.289763951100003,25.884690821838003
2001-03-23,25.317579605463,26.102078747156
2001-03-26,24.808952576646,26.397105217231
2001-03-27,24.715258123969,27.802362877325002
2001-03-28,21.884347160948,27.212309937175004
2001-03-29,20.077382716466,27.212309937175004
2001-03-30,20.565932362566,27.911056839984003
2001-04-02,20.646241893432,27.414170153542
2001-04-03,19.742759671191,26.746478668635998
2001-04-04,18.799122683517,27.600502660958
2001-04-05,20.492315292606,29.114454283710998
2001-04-06,18.605041317258,28.260430291389
2001-04-09,18.471192099148,29.114454283710998
2001-04-10,19.976995802883,30.473128816950997
2001-04-11,21.201716148587998,30.286796309535
2001-04-12,22.727597235039,30.271268600584
2001-04-16,22.299279737088,30.279032455059
2001-04-17,22.305972197993,29.642396388056003
2001-04-18,25.424658979951,30.744863723599
2001-04-19,26.093905070500004,30.620642051988
2001-04-20,27.037542058174,31.327152809273
2001-04-23,26.769843621954003,31.381499790602998
2001-04-24,24.909339490229,31.024362484721998
2001-04-25,25.986825696012,31.435846771932002
2001-04-26,25.438043901762,32.670299633561
2001-04-27,25.96005585239,32.600424943281006
2001-04-30,26.107289992311,32.142357529217
2001-05-01,26.234446749514998,32.219996073973
2001-05-02,26.582454716601,32.204468365022
2001-05-03,25.732512181603997,31.861618955861
2001-05-04,25.67897249436,32.648614190526
2001-05-07,25.926593547863003,31.947331308152
2001-05-08,25.712434798887,31.433057194411003
2001-05-09,26.100597531405,32.243428525154
2001-05-10,26.241139210421,32.656406222552
2001-05-11,26.562377333884,31.378512970226
2001-05-14,25.933286008768,32.181092268943
2001-05-15,25.063266091055002,32.726534510789
2001-05-16,25.765974486131,34.68233454941
2001-05-17,25.913208626051997,34.87713535007
2001-05-18,24.092859259759003,35.025183958571
2001-05-21,25.431351440857,35.344657271653
2001-05-22,26.267909054043002,33.97325963501
2001-05-23,25.384504214518,33.957675570957
2001-05-24,24.293633086924,33.123928144135
2001-05-25,25.223885152786004,33.630410225849
2001-05-29,24.059396955230998,33.864171186641
2001-05-30,21.998118996341,33.007047663739
2001-05-31,22.446513877009,33.622618193823
2001-06-01,22.734289695945,33.910923378799
2001-06-04,22.419744033386998,34.090140115406
2001-06-05,22.821291687716,34.939471606280996
2001-06-06,22.935063523109,34.277148884039
2001-06-07,23.985779885271,33.918715410825
2001-06-08,23.430305630116,33.529113809506
2001-06-11,22.600440477835,32.835622959159004
2001-06-12,22.285894815277,31.557729706833
2001-06-13,21.844192395514998,31.409681098331
2001-06-14,20.813553416069,30.560349607456
2001-06-15,20.385235918118,30.365548806796998
