,Date,Unix,Ticker,DE Ratio,Price,stock_p_change,SP500,sp500_p_change,difference,status
0,2004-01-30 19:01:02,1075518062.0,a,0.407,36.65,0.0,1131.13,0.0,0.0,underperform
1,2004-04-13 04:07:11,1081854431.0,a,0.375,31.87,-13.042291950886762,1129.43994,-0.14941341843997863,-12.892878532446783,underperform
2,2004-12-13 21:37:34,1103002654.0,a,0.323,23.84,-34.95225102319235,1198.68005,5.971908622351084,-40.92415964554344,underperform
3,2005-01-22 05:17:19,1106399839.0,a,0.322,21.8,-40.518417462482944,1184.63,4.7297834908454375,-45.24820095332838,underperform
4,2006-01-09 02:35:16,1136802916.0,a,0.0,34.65,-5.457025920873124,1290.1500199999998,14.058509631960932,-19.515535552834056,underperform
5,2006-06-21 11:01:16,1150912876.0,a,0.368,32.18,-12.19645293315143,1252.19995,10.703451415840782,-22.899904348992212,underperform
6,2006-08-19 10:42:01,1156009321.0,a,0.396,31.8,-13.23328785811732,1295.43005,14.525302131496804,-27.758589989614123,underperform
7,2007-02-20 17:46:56,1172022416.0,a,0.411,32.48,-11.377899045020468,1459.68005,29.046179484232564,-40.42407852925303,underperform
8,2007-04-12 05:07:51,1176379671.0,a,0.411,34.62,-5.538881309686224,1447.80005,27.995902327760728,-33.53478363744695,underperform
9,2008-01-23 19:28:50,1201145330.0,a,0.645,32.16,-12.25102319236017,1338.5999800000002,18.341833387851093,-30.59285658021126,underperform
10,2008-02-14 04:44:34,1202993074.0,a,0.645,32.68,-10.832196452933148,1348.85999,19.248891816148436,-30.081088269081583,underperform
11,2008-04-26 04:49:23,1209210563.0,a,0.67,31.53,-13.969986357435193,1379.93005,21.995707831991,-35.965694189426195,underperform
12,2008-12-06 19:21:33,1228620093.0,a,0.83,17.26,-52.905866302864936,870.73999,-23.020343373440724,-29.885522929424212,underperform
13,2011-08-02 06:45:37,1312292737.0,a,54.36,40.79,11.296043656207368,1254.05005,10.86701351745599,0.4290301387513793,outperform
14,2011-11-08 05:04:16,1320757456.0,a,51.62,37.74,2.974079126875862,1275.92004,12.800477398707473,-9.82639827183161,underperform
15,2013-05-14 00:28:58,1368516538.0,a,44.12,37.74,2.974079126875862,1650.33997,45.90188307267952,-42.92780394580365,underperform
